401,SCHADSTOFFARM,4,1,1,1,1,1,1,1,4
402,BED.SCHADST.ARM C/XXIII,4,1,1,1,1,1,1,1,4
403,SCHADSTOFFARM E,1,1,1,1,1,1,1,1,4
404,BED.SCHADST.ARM C/XXV,1,1,1,1,1,1,1,1,4
405,BED.SCHADST.ARM A,1,1,1,1,1,1,1,1,4
406,ANL.XXIV A,1,1,1,1,1,1,1,1,4
407,BED.SCHADST.ARM B,1,1,1,1,1,1,1,1,4
408,ANL.XXIV B,1,1,1,1,1,1,1,1,4
409,BED.SCHADST.ARM C,1,1,1,1,1,1,1,1,4
410,ANL.XXIV C,1,1,1,1,1,1,1,1,4
411,SCHADSTOFFARM E1,1,1,1,1,1,1,1,1,4
412,"BED.SCHADST.ARM 0,08",1,1,1,1,1,1,1,1,4
413,"BED.SCHADST.ARM E1 0,08",1,1,1,1,1,1,1,1,4
414,SCHADSTOFFARM E2,4,1,1,2,3,3,3,3,4
415,"91/441/EWG, ANH. I 8.1",1,1,1,1,1,1,1,1,4
416,"SCHADSTOFFARM E2, 8.1",4,1,1,2,3,3,3,3,4
417,"93/59/EWG, ANH I 8.3",1,1,1,1,1,1,1,1,4
418,S-ARM: 93/59/EWG I,4,1,1,2,3,3,3,3,4
419,S: 93/59/EWG II,4,1,2,2,2,2,2,2,4
420,S: 93/59/EWG III,4,1,2,2,2,2,2,2,4
421,"S-ARM E2, G: 92/97/EWG",4,1,1,2,3,3,3,3,4
422,"S-ARM: 93/59/I, G: 92/97",4,1,1,2,3,3,3,3,4
423,"S: 93/59/II, G: 92/97/EWG",4,1,2,2,2,2,2,2,4
424,"S: 93/59/III, G: 92/97/EWG",4,1,2,2,2,2,2,2,4
425,SCHADSTOFFARM EURO 2,4,2,2,2,3,4,4,4,4
426,"S-ARM EURO 2, G: 92/97",4,2,2,2,3,4,4,4,4
427,96/69/EG I,4,2,2,2,"3*,4**","3**,4**","3*,4**","3*,4**",4
428,96/69/EG II,4,2,2,3,3,3,3,3,4
429,96/69/EG III,4,2,2,3,3,3,3,3,4
430,SCHADSTOFFARM D3,4,3,3,3,3,4,4,4,4
431,SCHADSTOFFARM D3I,4,3,3,3,3,4,4,4,4
432,SCHADSTOFFARM D4,4,4,4,4,4,4,4,4,4
433,SCHADSTOFFARM D4I,4,4,4,4,4,4,4,4,4
434,SCHADSTOFFARM E2;5L,4,1,1,2,3,3,3,3,4
435,SCHADSTOFFARM EURO 2;5L,4,2,2,2,3,4,4,4,4
436,SCHADSTOFFARM D3;5L,4,3,3,3,3,4,4,4,4
437,SCHADSTOFFARM D3I;5L,4,3,3,3,3,4,4,4,4
438,SCHADSTOFFARM D4;5L,4,4,4,4,4,4,4,4,4
439,SCHADSTOFFARM D4I;5L,4,4,4,4,4,4,4,4,4
440,SCHADSTOFFARM E2;3L,4,1,1,2,3,3,3,3,4
441,SCHADSTOFFARM EURO 2;3L,4,2,2,2,3,4,4,4,4
442,SCHADSTOFFARM D3;3L,4,3,3,3,3,4,4,4,4
443,SCHADSTOFFARM D4;3L,4,4,4,4,4,4,4,4,4
444,EURO 3,4,3,3,3,3,4,4,4,4
445,EURO 3; 5L,4,3,3,3,3,4,4,4,4
446,EURO 3; 3L,4,3,3,3,3,4,4,4,4
447,98/69/EG l; A,4,3,3,3,3,4,4,4,4
448,98/69/EG l; A; 5L,4,3,3,3,3,4,4,4,4
449,98/69/EG ll; A,4,3,3,3,4,4,4,4,4
450,98/69/EG ll; A; 5L,4,3,3,3,4,4,4,4,4
451,98/69/EG lll; A,4,3,3,3,4,4,4,4,4
452,98/69/EG lll; A; 5L,4,3,3,3,4,4,4,4,4
453,EURO 3 UND D4,4,4,4,4,4,4,4,4,4
454,EURO 3; 5L UND D4,4,4,4,4,4,4,4,4,4
455,EURO 3; 3L UND D4,4,4,4,4,4,4,4,4,4
456,98/69/EG l; A U. D4l,4,4,4,4,4,4,4,4,4
457,98/69/EG l; A; 5L U. D4l!,4,4,4,4,4,4,4,4,4
458,98/69/EG ll; A U. D4l,4,4,4,4,4,4,4,4,4
459,98/69/EG ll; A; 5L U. D4l,4,4,4,4,4,4,4,4,4
460,98/69/EG lll; A U. D4l,4,4,4,4,4,4,4,4,4
461,98/69/EG III; A; 5L U.D4I,4,4,4,4,4,4,4,4,4
462,EURO 4,4,4,4,4,4,4,4,4,4
463,EURO 4; 5L,4,4,4,4,4,4,4,4,4
464,EURO 4; 3L,4,4,4,4,4,4,4,4,4
465,98/69/EG l; B,4,4,4,4,4,4,4,4,4
466,98/69/EG l; B; 5L,4,4,4,4,4,4,4,4,4
467,98/69/EG ll; B,4,4,4,4,4,4,4,4,4
468,98/69/EG ll; B; 5L,4,4,4,4,4,4,4,4,4
469,98/69/EG lll; B,4,4,4,4,4,4,4,4,4
470,98/69/EG lll; B; 5L,4,4,4,4,4,4,4,4,4
471,91/542/EWG; B,4,2,2,2,3,3,3,3,4
472,1999/96/EG; A,4,3,-1,-1,-1,-1,-1,-1,-1
473,1999/96/EG; B1,4,4,-1,-1,-1,-1,-1,-1,-1
474,1999/96/EG; B2,4,4,-1,-1,-1,-1,-1,-1,-1
475,"1999/96/EG; C, EEV",4***,4,-1,-1,-1,-1,-1,-1,-1
477,SCHADSTOFFARM E2/NACHG.,4,1,1,2,3,3,3,3,4
601,GKL:G1,1,1,1,1,1,1,1,1,-2
602,GKL:G1 OEST,1,1,1,1,1,1,1,1,-2
610,SKL: S1,1,1,1,2,3,4,4,4,-2
611,"SKL: S1, GKL: G1",1,1,1,2,3,4,4,4,-2
612,"SKL: S1, GKL: G1 OEST",1,1,1,2,3,4,4,4,-2
620,SKL: S2,1,2,2,2,3,4,4,4,-2
621,"SKL: S2, GKL: G1",1,2,2,2,3,4,4,4,-2
622,"SKL: S2, GKL: G1 OEST",1,2,2,2,3,4,4,4,-2
630,93/59/EWG I,4,1,1,2,3,4,4,4,-2
631,"93/59/I, GKL: G1",4,1,1,2,3,4,4,4,-2
632,"93/59/I, GKL: G1 OEST",4,1,1,2,3,4,4,4,-2
633,96/69/EG I,4,2,2,2,3,4,4,4,-2
634,98/69/EG I;A,4,3,3,3,3,4,4,4,-2
635,96/69/EG I; B,4,4,4,4,4,4,4,4,-2
640,93/59/EWG II,4,1,2,2,3,4,4,4,-2
641,"93/59/II, GKL: G1",4,1,2,2,3,4,4,4,-2
642,"93/59/II, GKL: G1 OEST",4,1,2,2,3,4,4,4,-2
643,96/69/EG II,4,2,2,3,3,4,4,4,-2
644,98/69/EG II; A,4,3,3,3,4,4,4,4,-2
645,98/69/EG II; B,4,4,4,4,4,4,4,4,-2
650,93/59/EWG III,4,1,2,2,3,4,4,4,-2
651,"93/59/III, GKL: G1",4,1,2,2,3,4,4,4,-2
652,"93/59/III, GKL: G1 OEST",4,1,2,2,3,4,4,4,-2
653,96/69/EG III,4,2,2,3,3,4,4,4,-2
654,98/69/EG III; A,4,3,3,3,4,4,4,4,-2
655,98/69/EG III; B,4,4,4,4,4,4,4,4,-2
660,94/12/EG (M),4,2,2,2,3,4,4,4,-2
661,"94/12/EG (M), GKL: G1",4,2,2,2,3,4,4,4,-2
670,1999/96/EG; A,4,3,3,3,3,4,4,4,-2
671,"1999/96/EG; A, GKL: G1",4,3,3,3,3,4,4,4,-2
680,1999/96/EG; B1,4,4,4,4,4,4,4,4,-2
681,"1999/96/EG; B1, GKL: G1",4,4,4,4,4,4,4,4,-2
683,1999/96/EG; B2,4,4,4,4,4,4,4,4,-2
684,"1999/96/EG; B2, GKL: G1",4,4,4,4,4,4,4,4,-2
690,"1999/96/EG; C, EEV",4,4,4,4,4,4,4,4,-2
691,"1999/96/EG; C, EEV,GKL:G1",4,4,4,4,4,4,4,4,-2
